Street_minus_dir,County,State,Latitude,Longitude,Total_Severity_Score,Night_Severity_Score,Night_Accident_Count,Night_SevScore_Ratio
I-64,Richmond City,VA,37.56538805293793,-77.44779531430156,10131,2696,1009,0.2661139078077189
I-70,Lafayette,MO,39.004197246416936,-93.87761816699901,792,238,97,0.3005050505050505
I-40,Cibola,NM,35.07016168681916,-107.54094093930503,626,118,53,0.18849840255591055
I-65,Elmore,AL,32.47154239706025,-86.39647486119264,695,202,78,0.2906474820143885
I-64,St. Charles,MO,38.753851488643875,-90.75573327827377,830,202,65,0.2433734939759036
I-40,Dickson,TN,36.014978470534224,-87.33362169384232,573,184,56,0.32111692844677137
I-35,Oklahoma,OK,35.47933073313404,-97.47103799468236,2062,553,159,0.26818622696411254
I-85,Mecklenburg,VA,36.68181497767934,-78.11864855639914,1492,638,231,0.42761394101876676
I-70,Shawnee,KS,39.05378022423464,-95.76461923532055,424,82,23,0.19339622641509435
I-15,Juab,UT,39.64318932345443,-111.9068982039321,2274,862,381,0.37906772207563766
I-40,St Francis,AR,34.97674939879433,-90.94742112195853,478,162,63,0.3389121338912134
I-40,Crittenden,AR,35.15583085853976,-90.23539349920131,1123,448,170,0.39893143365983974
I-75,Fayette,KY,38.041104016528436,-84.44395472085098,608,158,45,0.2598684210526316
I-64,Raleigh,WV,37.79360958047442,-81.1525444208208,592,276,125,0.46621621621621623
I-95,Chesterfield,VA,37.37239117629265,-77.41174990011257,6014,2357,886,0.39191885600266047
I-10,El Paso,TX,31.750826530415452,-106.36762402493117,6729,1423,451,0.2114727299747362
I-95,Spotsylvania,VA,38.192996192981056,-77.50675615204368,5195,1452,572,0.2794995187680462
I-40,Iredell,NC,35.797694448386174,-80.91443900950583,1169,370,133,0.3165098374679213
I-10,Hancock,MS,30.33743174268474,-89.50957454845755,451,104,33,0.23059866962305986
I-65,Marshall,TN,35.39133548051088,-86.88157196349451,276,92,31,0.3333333333333333
I-65,Jefferson,AL,33.49850263995242,-86.81688611944773,11197,2901,996,0.25908725551487005
I-70,Lincoln,CO,39.270984790330274,-103.54968661377444,408,90,27,0.22058823529411764
I-20,Ward,TX,31.54856185714286,-103.04844992857144,64,4,2,0.0625
I-90,Monroe,WI,43.9594893010122,-90.49822402571344,384,124,33,0.3229166666666667
I-94,Stearns,MN,45.5947578316918,-94.51158500345291,4354,2122,1002,0.4873679375287092
I-35,Pine,MN,46.05113783414155,-92.90815318811465,3053,1626,789,0.5325908942024239
I-40,McDowell,NC,35.641116044238146,-82.10403319576186,976,208,78,0.21311475409836064
I-65,Blount,AL,33.86941128002377,-86.83961580337882,509,164,58,0.32220039292730845
I-94,Eau Claire,WI,44.73939495522661,-91.43923960802051,750,226,79,0.30133333333333334
I-70,Marion,IN,39.77457540140902,-86.13256503945524,9316,3037,1061,0.3259982825246887
I-80,Trumbull,OH,41.173432878921574,-80.76463454553922,683,222,63,0.32503660322108346
